rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
143,Otto López,,25,MIA,NL,114,106,97,949.1,470,181,281,8,55,0.983,0,0,8,10,4.38,4.05,3.88,3.96
144,Hunter Renfroe,,32,KCR,AL,116,105,96,934.2,212,201,9,2,3,0.991,0,0,-4,-5,2.02,2.28,1.79,2.29
145,Jesús Sánchez,,26,MIA,NL,119,105,85,934.1,233,226,3,4,2,0.983,-1,-2,-2,-3,2.21,2.21,1.92,2.18
146,Jordan Westburg,,25,BAL,AL,106,106,86,934.1,279,91,181,7,16,0.975,-9,-12,-10,-13,2.62,3.1,2.23,3.1
147,Andy Pages,,23,LAD,NL,114,101,78,933.2,302,294,5,3,2,0.99,7,9,-1,-1,2.88,2.21,2.62,2.18
148,Mickey Moniak,,26,LAA,AL,117,107,89,932,277,270,3,4,0,0.986,5,7,-4,-5,2.64,2.27,2.33,2.24
149,Ketel Marte,,30,ARI,NL,114,109,90,930.2,510,216,289,5,73,0.99,4,5,10,13,4.88,4.15,4.43,4.09
150,Wyatt Langford,,22,TEX,AL,109,109,81,927.2,218,208,8,2,1,0.991,6,7,14,18,2.1,2.27,1.98,2.24
151,Cody Bellinger,,28,CHC,NL,106,106,87,926.2,313,301,10,2,5,0.994,-3,-4,0,0,3.02,3.08,2.68,3.32
152,Jorge Polanco,,30,SEA,AL,112,109,92,925.1,367,138,222,7,45,0.981,-5,-7,-1,-1,3.5,3.97,3.21,3.91
153,Riley Greene,,23,DET,AL,106,104,88,915,210,203,4,3,1,0.986,-5,-6,14,18,2.04,2.27,1.95,2.24
154,Patrick Bailey,,25,SFG,NL,115,101,98,908,962,904,55,3,7,0.997,6,8,20,26,9.51,9.06,8.34,8.94
155,Rowdy Tellez,,29,PIT,NL,125,105,72,908,803,740,61,2,76,0.998,1,1,-3,-4,7.94,8.27,6.31,8.02
156,Miguel Amaya,,25,CHC,NL,116,103,88,905.2,893,856,31,6,3,0.993,1,1,5,7,8.81,9.06,7.65,8.94
157,Mark Vientos,,24,NYM,NL,110,105,78,905.1,264,79,180,5,16,0.981,1,2,-5,-7,2.57,2.71,2.31,2.71
158,Johan Rojas,,23,PHI,NL,116,103,82,903.1,227,219,6,2,1,0.991,-13,-17,4,5,2.24,2.21,1.94,2.18
159,Bo Naylor,,24,CLE,AL,115,101,83,899.1,936,894,36,6,4,0.994,3,4,11,15,9.31,9.16,8.09,9.03
160,J.P. Crawford,,29,SEA,AL,104,103,96,894.2,328,113,212,3,36,0.991,13,18,9,12,3.27,3.7,3.13,3.65
161,Vinnie Pasquantino,,26,KCR,AL,103,103,92,893,878,805,71,2,76,0.998,4,6,-3,-4,8.83,8.03,8.5,7.92
162,Tommy Pham,,36,3TM,2LG,105,100,81,888,205,201,3,1,0,0.995,-8,-11,-10,-14,2.07,2.26,1.94,2.23
162,Tommy Pham,,36,2TM,AL,83,83,66,730.1,180,176,3,1,0,0.994,-4,-6,-7,-12,2.21,2.27,2.16,2.24
162,Tommy Pham,,36,CHW,AL,65,65,51,570.1,144,142,1,1,0,0.993,-6,-13,-11,-23,2.26,2.27,2.2,2.24
162,Tommy Pham,,36,STL,NL,22,17,15,157.2,25,25,0,0,0,1,-5,-34,-3,-23,1.43,2.21,1.14,2.18
162,Tommy Pham,,36,KCR,AL,18,18,15,160,36,34,2,0,0,1,3,19,4,30,2.03,2.27,2,2.24
163,Xander Bogaerts,,31,SDP,NL,101,101,90,887.2,383,147,227,9,48,0.977,-5,-6,-1,-1,3.79,4.09,3.56,4.03
164,Will Benson,,26,CIN,NL,118,102,52,884,233,226,5,2,0,0.991,-5,-7,-6,-8,2.35,2.21,1.96,2.18
165,Adley Rutschman,,26,BAL,AL,103,99,97,882.1,915,874,37,4,4,0.996,1,1,4,5,9.29,9.16,8.84,9.03
166,Kiké Hernández,,32,LAD,NL,123,93,67,881,302,154,138,10,25,0.967,2,3,5,7,2.98,3.29,2.13,3.36
167,Michael Siani,,24,STL,NL,121,98,70,877.1,243,242,1,0,0,1,12,16,9,12,2.49,2.21,2.01,2.18
168,Ozzie Albies,,27,ATL,NL,99,99,98,875.2,395,153,239,3,57,0.992,1,1,1,1,4.03,4.15,3.96,4.09
169,Nolan Gorman,,24,STL,NL,106,97,93,874.1,400,147,243,10,68,0.975,-6,-9,-4,-5,4.01,4.15,3.64,4.06
170,Manny Machado,,31,SDP,NL,100,100,94,873.2,232,78,147,7,11,0.97,-3,-5,2,3,2.32,2.55,2.25,2.51
