player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Nick Ahmed,2024,34,3TM,NL,69,66,58,563.1,255,77,175,3,40,0.988,-3.0,-5.0,-1,-2.0,4.03,3.83,3.65,3.78
Nick Ahmed,2024,34,SFG,NL,51,50,44,426.0,198,61,134,3,33,0.985,0.0,0.0,0,0.0,4.12,3.82,3.82,3.77
Nick Ahmed,2024,34,LAD,NL,16,14,12,120.1,46,13,33,0,7,1.0,-3.0,-28.0,0,0.0,3.44,3.82,2.88,3.77
Nick Ahmed,2024,34,SDP,NL,2,2,2,17.0,11,3,8,0,0,1.0,0.0,28.0,-1,-71.0,5.82,4.02,5.5,3.95
James McCann,2024,34,BAL,AL,66,63,59,560.2,564,528,28,8,2,0.986,-2.0,-4.0,-5,-11.0,8.93,9.15,8.42,8.91
Dylan Carlson,2024,25,2TM,2LG,86,54,41,558.1,145,143,1,1,1,0.993,-1.0,-1.0,-6,-13.0,2.32,2.24,1.67,2.2
Dylan Carlson,2024,25,STL,NL,57,28,18,317.1,90,88,1,1,1,0.989,4.0,15.0,-3,-11.0,2.52,2.21,1.56,2.18
Dylan Carlson,2024,25,TBR,AL,29,26,23,241.0,55,55,0,0,0,1.0,-4.0,-22.0,-3,-15.0,2.05,2.27,1.9,2.24
Ryan O'Hearn,2024,30,BAL,AL,78,68,41,557.2,361,337,19,5,28,0.986,-5.0,-10.0,-4,-9.0,5.75,6.4,4.34,6.05
Victor Caratini,2024,30,HOU,AL,69,63,59,556.0,587,557,27,3,10,0.995,-1.0,-1.0,3,6.0,9.45,9.0,8.46,8.85
Brandon Lowe,2024,29,TBR,AL,69,64,56,555.1,281,151,130,0,35,1.0,2.0,4.0,1,2.0,4.55,4.67,3.96,4.65
Joey Gallo,2024,30,WSN,NL,69,61,55,554.2,479,453,25,1,45,0.998,3.0,7.0,6,13.0,7.76,7.45,6.83,7.24
Ezequiel Durán,2024,25,TEX,AL,75,63,45,553.0,228,138,85,5,18,0.978,8.0,17.0,2,4.0,3.63,3.59,2.9,3.47
Jose Trevino,2024,31,NYY,AL,72,62,48,546.1,580,552,22,6,2,0.99,0.0,0.0,9,20.0,9.46,9.13,7.86,8.82
Joey Bart,2024,27,PIT,NL,69,62,56,545.0,525,498,23,4,3,0.992,-2.0,-4.0,-4,-9.0,8.6,9.06,7.55,8.94
Pedro Pagés,2024,25,STL,NL,67,60,56,543.2,521,490,28,3,1,0.994,-2.0,-4.0,3,7.0,8.58,9.06,7.73,8.93
Tyler Nevin,2024,27,OAK,AL,80,64,24,542.0,303,261,38,4,25,0.987,-7.0,-16.0,-1,-2.0,4.96,4.57,3.22,4.62
Austin Hays,2024,28,2TM,2LG,76,59,48,541.2,118,115,2,1,0,0.992,-6.0,-12.0,-8,-18.0,1.94,2.25,1.54,2.22
Austin Hays,2024,28,BAL,AL,55,38,31,360.0,83,80,2,1,0,0.988,-3.0,-11.0,-4,-13.0,2.05,2.27,1.49,2.24
Austin Hays,2024,28,PHI,NL,21,21,17,181.2,35,35,0,0,0,1.0,-2.0,-14.0,-4,-26.0,1.73,2.21,1.67,2.18
Tim Anderson,2024,31,MIA,NL,63,62,59,537.1,245,66,170,9,34,0.963,-1.0,-2.0,0,0.0,3.95,3.82,3.75,3.77
Stuart Fairchild,2024,28,CIN,NL,84,54,39,526.0,171,170,1,0,1,1.0,5.0,11.0,6,14.0,2.93,2.21,2.04,2.18
Mike Tauchman,2024,33,CHC,NL,75,54,42,521.0,115,113,1,1,1,0.991,-6.0,-13.0,-5,-12.0,1.97,2.21,1.52,2.18
Triston Casas,2024,24,BOS,AL,61,56,51,512.0,505,450,50,5,36,0.99,-1.0,-3.0,-1,-2.0,8.79,8.03,8.2,7.92
DJ LeMahieu,2024,35,NYY,AL,66,55,42,511.1,297,212,82,3,20,0.99,-5.0,-11.0,-5,-12.0,5.17,4.82,3.97,5.25
Cavan Biggio,2024,29,3TM,2LG,69,56,39,508.0,234,145,82,7,23,0.97,-7.0,-17.0,-3,-7.0,4.02,4.07,2.87,4.2
Cavan Biggio,2024,29,2TM,NL,31,22,16,204.1,106,75,26,5,11,0.953,-8.0,-48.0,-5,-29.0,4.45,4.85,2.89,4.64
Cavan Biggio,2024,29,TOR,AL,38,34,23,303.2,128,70,56,2,12,0.984,1.0,4.0,2,8.0,3.73,3.55,2.86,3.85
Cavan Biggio,2024,29,LAD,NL,27,21,15,191.1,99,72,22,5,9,0.949,-7.0,-43.0,-4,-25.0,4.42,4.89,3.03,4.71
Cavan Biggio,2024,29,ATL,NL,4,1,1,13.0,7,3,4,0,2,1.0,-1.0,-111.0,-1,-92.0,4.85,4.15,1.75,4.1
Jorge Mateo,2024,29,BAL,AL,64,57,47,505.2,228,87,137,4,25,0.982,2.0,4.0,0,0.0,3.99,3.9,3.39,3.79
Daniel Schneemann,2024,27,CLE,AL,70,61,21,505.0,163,89,68,6,12,0.963,-1.0,-3.0,2,5.0,2.8,2.89,1.78,2.91
Adam Frazier,2024,32,KCR,AL,81,58,32,503.0,188,95,90,3,14,0.984,3.0,7.0,5,12.0,3.31,3.21,2.13,3.15
Trey Lipscomb,2024,24,WSN,NL,60,57,48,496.1,168,49,110,9,16,0.946,3.0,7.0,3,7.0,2.88,2.87,2.56,3.02
Rob Refsnyder,2024,33,BOS,AL,76,51,36,495.1,122,116,2,4,0,0.967,4.0,9.0,-4,-10.0,2.14,2.27,1.55,2.24
Leo Jiménez,2024,23,TOR,AL,61,55,47,490.1,204,78,122,4,29,0.98,0.0,0.0,2,5.0,3.67,3.79,3.13,3.74
Addison Barger,2024,24,TOR,AL,63,55,36,485.1,138,82,49,7,7,0.949,-5.0,-13.0,3,7.0,2.43,2.38,1.87,2.34
Trent Grisham,2024,27,NYY,AL,69,52,44,485.1,146,141,3,2,2,0.986,1.0,3.0,0,0.0,2.67,2.27,2.09,2.24
Miguel Vargas,2024,24,2TM,2LG,65,57,40,484.0,126,58,63,5,10,0.96,-7.0,-16.0,-2,-5.0,2.25,2.38,1.86,2.42
