player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Dairon Blanco,2024,31,KCR,AL,67,34,21,332.1,83,79,1,3,0,0.964,-3.0,-9.0,-2,-7.0,2.17,2.27,1.19,2.24
Evan Carter,2024,21,TEX,AL,41,38,29,331.0,77,73,3,1,1,0.987,5.0,17.0,4,15.0,2.07,2.27,1.85,2.24
Ángel Martínez,2024,22,CLE,AL,39,37,28,331.0,76,66,7,3,0,0.961,-7.0,-24.0,-1,-4.0,1.98,2.32,1.87,2.3
Edward Olivares,2024,28,PIT,NL,45,41,18,330.2,79,76,2,1,0,0.987,-10.0,-35.0,-6,-22.0,2.12,2.21,1.73,2.18
Jorge Soler,2024,32,ATL,NL,46,46,13,326.0,63,60,2,1,0,0.984,-11.0,-40.0,-10,-37.0,1.71,2.21,1.35,2.18
Kyle McCann,2024,26,OAK,AL,44,39,30,324.0,304,288,12,4,2,0.987,-1.0,-4.0,-6,-22.0,8.33,9.16,6.82,9.03
Luis Matos,2024,22,SFG,NL,43,33,24,322.1,71,69,1,1,0,0.986,-7.0,-25.0,0,0.0,1.95,2.21,1.63,2.18
Curt Casali,2024,35,SFG,NL,41,38,25,321.0,372,345,20,7,0,0.981,-7.0,-26.0,-1,-4.0,10.23,9.06,8.9,8.94
Travis Jankowski,2024,33,TEX,AL,69,30,23,321.0,86,82,1,3,0,0.965,11.0,41.0,8,30.0,2.33,2.27,1.2,2.24
Tommy Edman,2024,29,LAD,NL,37,35,29,317.0,122,82,36,4,6,0.967,-1.0,-2.0,1,4.0,3.35,2.87,2.74,2.89
Riley Adams,2024,28,WSN,NL,40,36,29,314.1,294,279,10,5,2,0.983,-7.0,-27.0,-2,-8.0,8.27,9.06,7.23,8.94
Blaze Alexander,2024,25,ARI,NL,44,35,29,312.0,128,45,77,6,16,0.953,-5.0,-20.0,-4,-15.0,3.52,3.73,2.71,3.67
Andruw Monasterio,2024,27,MIL,NL,51,34,22,312.0,129,51,72,6,19,0.953,2.0,9.0,0,0.0,3.55,3.49,2.32,3.67
Danny Mendick,2024,30,CHW,AL,41,35,29,308.2,106,39,64,3,10,0.972,1.0,2.0,-1,-4.0,3.0,2.94,2.51,2.91
Grant McCray,2024,23,SFG,NL,37,35,33,307.1,89,87,0,2,0,0.978,-5.0,-20.0,-3,-12.0,2.55,2.21,2.35,2.18
Jung Hoo Lee,2024,25,SFG,NL,37,36,35,306.2,80,79,1,0,0,1.0,-2.0,-7.0,-2,-8.0,2.35,2.21,2.16,2.18
Luis Torrens,2024,28,NYM,NL,45,34,21,299.1,317,296,20,1,2,0.997,7.0,28.0,4,16.0,9.5,9.05,7.02,8.77
Pavin Smith,2024,28,ARI,NL,49,34,18,298.1,105,98,7,0,5,1.0,-3.0,-10.0,-4,-16.0,3.17,3.51,2.1,4.2
Trey Sweeney,2024,24,DET,AL,36,33,28,294.0,145,37,104,4,20,0.972,3.0,11.0,3,12.0,4.32,3.7,3.92,3.65
José Herrera,2024,27,ARI,NL,41,31,22,284.2,323,314,8,1,1,0.997,-3.0,-12.0,-2,-8.0,10.18,9.04,7.85,8.78
Brooks Baldwin,2024,23,CHW,AL,33,32,32,281.0,117,46,69,2,16,0.983,-4.0,-19.0,-2,-9.0,3.68,3.89,3.48,3.84
Brett Harris,2024,26,OAK,AL,35,31,28,280.0,82,20,59,3,9,0.963,0.0,-1.0,-4,-17.0,2.54,2.47,2.26,2.44
José Abreu,2024,37,HOU,AL,35,31,28,275.1,276,254,19,3,24,0.989,-3.0,-14.0,-2,-9.0,8.92,8.03,7.8,7.92
Alex Kirilloff,2024,26,MIN,AL,41,35,13,274.1,98,94,4,0,2,1.0,-1.0,-3.0,-4,-17.0,3.22,4.03,2.33,3.86
J.D. Davis,2024,31,2TM,AL,37,32,14,274.0,169,141,27,1,18,0.994,-8.0,-34.0,-2,-9.0,5.52,6.06,4.0,6.1
J.D. Davis,2024,31,OAK,AL,33,28,14,245.0,156,129,26,1,17,0.994,-7.0,-36.0,-2,-10.0,5.69,5.83,4.08,5.9
J.D. Davis,2024,31,NYY,AL,4,4,0,29.0,13,12,1,0,1,1.0,0.0,-12.0,0,0.0,4.03,8.04,3.25,7.93
Dylan Crews,2024,22,WSN,NL,31,31,28,273.2,67,66,1,0,0,1.0,-3.0,-14.0,4,18.0,2.2,2.21,2.16,2.18
Henry Davis,2024,24,PIT,NL,34,31,27,271.1,271,260,9,2,3,0.993,-1.0,-4.0,-4,-18.0,8.92,9.06,7.91,8.94
Nick Allen,2024,25,OAK,AL,41,30,24,269.1,129,49,74,6,24,0.953,1.0,6.0,4,18.0,4.11,3.57,3.0,3.51
Curtis Mead,2024,23,TBR,AL,35,32,24,268.1,95,35,56,4,9,0.958,-4.0,-17.0,-4,-18.0,3.05,3.44,2.53,3.45
Casey Schmitt,2024,25,SFG,NL,38,29,20,267.0,93,30,60,3,12,0.968,-3.0,-12.0,-3,-13.0,3.03,3.68,2.37,3.63
Patrick Wisdom,2024,32,CHC,NL,50,30,13,265.0,164,132,27,5,9,0.97,0.0,1.0,-1,-5.0,5.4,5.52,2.84,5.26
Michael Stefanic,2024,28,LAA,AL,36,31,19,264.1,127,50,77,0,25,1.0,2.0,9.0,-1,-5.0,4.32,3.92,3.43,3.8
Christian Encarnacion-Strand,2024,24,CIN,NL,29,29,28,255.0,215,196,19,0,13,1.0,0.0,2.0,-1,-5.0,7.59,8.29,7.41,8.18
Luis Urías,2024,27,SEA,AL,38,29,20,249.1,84,27,51,6,7,0.929,2.0,8.0,0,0.0,2.82,2.47,2.05,2.44
Tucker Barnhart,2024,33,ARI,NL,31,29,19,249.0,225,214,9,2,1,0.991,0.0,0.0,-2,-10.0,8.06,9.03,6.97,8.7
Aaron Schunk,2024,26,COL,NL,33,28,23,249.0,109,39,69,1,15,0.991,3.0,13.0,3,14.0,3.9,3.53,3.27,3.43
Gary Sánchez,2024,31,MIL,NL,32,28,25,247.1,228,212,11,5,2,0.978,-1.0,-3.0,-1,-5.0,8.11,9.02,6.97,8.84
Vaughn Grissom,2024,23,BOS,AL,30,28,26,245.0,123,35,85,3,16,0.976,4.0,18.0,1,5.0,4.41,3.97,4.0,3.91
Yan Gomes,2024,36,CHC,NL,34,27,23,244.0,251,245,6,0,0,1.0,-1.0,-5.0,-5,-25.0,9.26,9.06,7.38,8.94
Ali Sánchez,2024,27,MIA,NL,30,28,24,244.0,253,239,12,2,2,0.992,1.0,5.0,0,0.0,9.26,9.06,8.37,8.94
Andrew Knizner,2024,29,TEX,AL,36,28,20,242.0,255,248,5,2,1,0.992,-3.0,-15.0,-3,-15.0,9.41,9.06,7.03,8.6
Alika Williams,2024,25,PIT,NL,34,26,19,240.2,100,38,60,2,9,0.98,2.0,7.0,-1,-5.0,3.66,4.01,2.72,3.95
Sean Bouchard,2024,28,COL,NL,30,29,19,239.0,55,50,2,3,0,0.945,-11.0,-54.0,-5,-25.0,1.96,2.21,1.73,2.18
Kody Clemens,2024,28,PHI,NL,40,24,20,239.0,145,105,37,3,10,0.979,1.0,7.0,2,10.0,5.35,5.14,3.38,4.75
Alex Call,2024,29,WSN,NL,30,27,23,238.1,77,73,2,2,2,0.974,2.0,9.0,2,10.0,2.83,2.21,2.5,2.18
Alek Thomas,2024,24,ARI,NL,35,26,22,237.0,57,57,0,0,0,1.0,-6.0,-31.0,-1,-5.0,2.16,2.21,1.63,2.18
Jacob Wilson,2024,22,OAK,AL,27,27,24,236.0,101,32,69,0,16,1.0,-6.0,-28.0,-4,-20.0,3.85,3.7,3.74,3.65
Robbie Grossman,2024,34,3TM,AL,38,27,19,231.1,57,55,1,1,0,0.982,1.0,3.0,-1,-5.0,2.18,2.27,1.47,2.24
Robbie Grossman,2024,34,CHW,AL,19,18,15,152.0,42,40,1,1,0,0.976,-3.0,-21.0,-2,-16.0,2.43,2.27,2.16,2.24
Robbie Grossman,2024,34,TEX,AL,17,8,3,69.0,12,12,0,0,0,1.0,3.0,43.0,1,17.0,1.57,2.27,0.71,2.24
Robbie Grossman,2024,34,KCR,AL,2,1,1,10.1,3,3,0,0,0,1.0,1.0,70.0,0,0.0,2.61,2.26,1.5,2.25
Miles Mastrobuoni,2024,28,CHC,NL,38,25,14,230.2,102,31,68,3,10,0.971,3.0,14.0,1,5.0,3.86,3.27,2.48,3.2
Ben Gamel,2024,32,2TM,2LG,35,26,12,230.0,45,45,0,0,0,1.0,2.0,11.0,-2,-10.0,1.76,2.25,1.29,2.21
Ben Gamel,2024,32,NYM,NL,15,8,3,75.0,13,13,0,0,0,1.0,0.0,3.0,-1,-16.0,1.56,2.21,0.87,2.18
Ben Gamel,2024,32,HOU,AL,20,18,9,155.0,32,32,0,0,0,1.0,2.0,15.0,-1,-8.0,1.86,2.27,1.6,2.24
Nick Madrigal,2024,27,CHC,NL,47,21,14,229.0,68,21,45,2,8,0.971,-3.0,-17.0,-2,-10.0,2.59,3.19,1.29,2.98
Trevor Story,2024,31,BOS,AL,26,26,24,227.2,94,32,61,1,13,0.989,2.0,8.0,2,11.0,3.68,3.7,3.58,3.65
José Azócar,2024,28,SDP,NL,56,17,9,225.2,58,58,0,0,0,1.0,3.0,18.0,-1,-5.0,2.31,2.21,1.04,2.18
Ryan Noda,2024,28,OAK,AL,32,24,19,225.0,198,178,18,2,24,0.99,2.0,10.0,1,5.0,7.84,7.96,6.13,7.57
Dane Myers,2024,28,MIA,NL,39,22,11,222.0,67,59,6,2,1,0.97,-1.0,-3.0,1,5.0,2.64,2.21,1.67,2.18
Leo Rivas,2024,26,SEA,AL,39,23,19,221.0,75,19,54,2,8,0.973,-1.0,-3.0,-1,-5.0,2.97,3.71,1.78,3.55
Jonathan Aranda,2024,26,TBR,AL,28,25,19,219.0,156,137,19,0,11,1.0,1.0,3.0,1,5.0,6.41,7.25,5.2,6.94
Zack Short,2024,29,3TM,2LG,36,22,19,214.1,59,11,43,5,5,0.915,1.0,3.0,1,6.0,2.27,2.97,1.5,3.07
Zack Short,2024,29,2TM,NL,34,20,17,196.1,53,10,38,5,4,0.906,0.0,2.0,1,6.0,2.2,2.94,1.41,3.06
Zack Short,2024,29,NYM,NL,7,3,1,28.0,10,3,6,1,2,0.9,0.0,17.0,0,0.0,2.89,2.67,1.29,2.93
Zack Short,2024,29,BOS,AL,2,2,2,18.0,6,1,5,0,1,1.0,0.0,13.0,0,0.0,3.0,3.25,3.0,3.15
Zack Short,2024,29,ATL,NL,27,17,16,168.1,43,7,32,4,2,0.907,0.0,0.0,1,7.0,2.09,2.99,1.44,3.1
Dillon Dingler,2024,25,DET,AL,27,24,21,213.2,176,168,7,1,0,0.994,0.0,0.0,0,0.0,7.37,9.16,6.48,9.03
Bobby Dalbec,2024,29,BOS,AL,35,23,17,213.1,127,101,26,0,9,1.0,4.0,25.0,1,6.0,5.36,5.64,3.53,5.63
Nasim Nuñez,2024,23,WSN,NL,35,21,19,212.1,123,38,80,5,19,0.959,1.0,6.0,2,11.0,5.0,3.82,3.37,3.79
Logan Gilbert,2024,27,SEA,AL,33,33,1,208.2,38,26,9,3,0,0.921,,,-6,-6.0,1.51,1.31,1.06,1.29
Trey Cabbage,2024,27,HOU,AL,39,21,16,208.1,32,31,1,0,0,1.0,-2.0,-11.0,2,12.0,1.38,2.27,0.82,2.24
Seth Lugo,2024,34,KCR,AL,33,33,1,206.2,43,14,29,0,3,1.0,,,5,5.0,1.87,1.31,1.3,1.29
DJ Stewart,2024,30,NYM,NL,36,29,6,206.0,51,49,2,0,1,1.0,-7.0,-41.0,-5,-29.0,2.23,2.36,1.38,2.34
Weston Wilson,2024,29,PHI,NL,35,21,10,206.0,46,30,14,2,3,0.957,-3.0,-19.0,0,0.0,1.92,2.54,1.16,2.88
Nick Sogard,2024,26,BOS,AL,31,23,15,205.1,91,32,58,1,10,0.989,1.0,7.0,1,6.0,3.94,3.5,2.57,3.67
Logan Webb,2024,27,SFG,NL,33,33,1,204.2,50,15,33,2,5,0.96,,,-3,-3.0,2.11,1.36,1.45,1.34
Mike Trout,2024,32,LAA,AL,24,24,21,203.0,67,65,2,0,1,1.0,0.0,2.0,-1,-6.0,2.97,2.27,2.79,2.24
Zack Wheeler,2024,34,PHI,NL,32,32,0,200.0,38,21,17,0,1,1.0,,,3,3.0,1.71,1.36,1.19,1.34
Aaron Nola,2024,31,PHI,NL,33,33,1,199.1,28,12,16,0,2,1.0,,,1,1.0,1.26,1.36,0.85,1.34
Bryce Johnson,2024,28,SDP,NL,43,18,13,194.2,45,43,2,0,0,1.0,2.0,9.0,1,6.0,2.08,2.21,1.05,2.18
Corbin Burnes,2024,29,BAL,AL,32,32,0,194.1,36,15,17,4,0,0.889,,,-6,-6.0,1.48,1.31,1.0,1.29
Chuckie Robinson,2024,29,CHW,AL,26,23,14,193.0,208,196,10,2,1,0.99,1.0,6.0,0,0.0,9.61,9.16,7.92,9.03
José Berríos,2024,30,TOR,AL,32,32,1,192.1,32,12,18,2,1,0.938,,,2,2.0,1.4,1.31,0.94,1.29
Tarik Skubal,2024,27,DET,AL,31,31,0,192.0,29,7,19,3,2,0.897,,,3,3.0,1.22,1.31,0.84,1.29
Ji Hwan Bae,2024,24,PIT,NL,24,21,16,191.2,59,58,1,0,1,1.0,-3.0,-18.0,-1,-6.0,2.77,2.22,2.46,2.26
Jace Jung,2024,23,DET,AL,28,23,14,191.0,48,10,34,4,2,0.917,-5.0,-28.0,-6,-38.0,2.07,2.47,1.57,2.49
George Kirby,2024,26,SEA,AL,33,33,0,191.0,21,11,9,1,1,0.952,,,-4,-4.0,0.94,1.31,0.61,1.29
Mitch Garver,2024,33,SEA,AL,25,23,18,190.0,192,183,9,0,2,1.0,-1.0,-6.0,-5,-32.0,9.09,9.16,7.68,9.03
Dylan Cease,2024,28,SDP,NL,33,33,1,189.1,27,10,17,0,0,1.0,,,2,2.0,1.28,1.36,0.82,1.34
Akil Baddoo,2024,25,DET,AL,28,21,15,188.2,42,42,0,0,0,1.0,1.0,5.0,-1,-6.0,2.0,2.27,1.5,2.24
Jake Irvin,2024,27,WSN,NL,33,33,0,187.2,47,17,28,2,1,0.957,,,6,6.0,2.16,1.36,1.36,1.34
Jacob Amaya,2024,25,2TM,AL,24,21,17,187.1,69,34,34,1,10,0.986,0.0,-3.0,3,19.0,3.27,3.7,2.83,3.66
Jacob Amaya,2024,25,HOU,AL,1,0,0,2.0,4,2,2,0,1,1.0,0.0,120.0,0,0.0,18.0,4.05,4.0,3.9
Jacob Amaya,2024,25,CHW,AL,23,21,17,185.1,65,32,32,1,9,0.985,-1.0,-4.0,3,19.0,3.11,3.7,2.78,3.65
Cole Ragans,2024,26,KCR,AL,32,32,1,186.1,26,7,19,0,1,1.0,,,3,3.0,1.26,1.31,0.81,1.29
Omar Narváez,2024,32,NYM,NL,28,21,13,186.0,193,184,4,5,3,0.974,-4.0,-26.0,-7,-45.0,9.1,9.06,6.71,8.94
Charlie Blackmon,2024,37,COL,NL,26,24,12,185.2,40,38,2,0,0,1.0,-2.0,-13.0,-2,-13.0,1.94,2.21,1.54,2.18
Pablo López,2024,28,MIN,AL,32,32,0,185.1,25,11,13,1,1,0.96,,,-2,-2.0,1.17,1.31,0.75,1.29
Griffin Conine,2024,26,MIA,NL,25,21,17,185.0,46,41,4,1,2,0.978,1.0,8.0,6,39.0,2.19,2.21,1.8,2.18
Ryan Kreidler,2024,26,DET,AL,34,19,11,184.2,88,22,64,2,13,0.977,3.0,18.0,1,6.0,4.19,3.5,2.39,3.3
Kutter Crawford,2024,28,BOS,AL,33,33,0,183.2,26,18,8,0,1,1.0,,,1,1.0,1.27,1.31,0.79,1.29
Brian Serven,2024,29,TOR,AL,27,19,15,182.0,174,168,5,1,0,0.994,-1.0,-7.0,2,13.0,8.55,9.16,6.41,9.03
Luis Severino,2024,30,NYM,NL,31,31,1,182.0,44,9,30,5,2,0.886,,,5,5.0,1.93,1.36,1.26,1.34
Sean Manaea,2024,32,NYM,NL,32,32,0,181.2,22,3,17,2,0,0.909,,,0,0.0,0.99,1.36,0.63,1.34
Brandon Pfaadt,2024,25,ARI,NL,32,32,0,181.2,19,7,11,1,0,0.947,,,-1,-1.0,0.89,1.36,0.56,1.34
Cristopher Sánchez,2024,27,PHI,NL,31,31,2,181.2,39,6,28,5,0,0.872,,,3,3.0,1.68,1.36,1.1,1.34
Kevin Gausman,2024,33,TOR,AL,31,31,2,181.0,17,7,9,1,0,0.941,,,-2,-2.0,0.8,1.31,0.52,1.29
JP Sears,2024,28,OAK,AL,32,32,0,180.2,21,3,17,1,2,0.952,,,-2,-2.0,1.0,1.31,0.63,1.29
Bryce Miller,2024,25,SEA,AL,31,31,0,180.1,23,11,11,1,0,0.957,,,0,0.0,1.1,1.31,0.71,1.29
Adrian Del Castillo,2024,24,ARI,NL,24,19,17,179.2,181,171,7,3,1,0.983,-4.0,-27.0,-2,-13.0,8.92,9.06,7.42,8.94
Brady Singer,2024,27,KCR,AL,32,32,0,179.2,34,14,19,1,0,0.971,,,3,3.0,1.65,1.31,1.03,1.29
Tyler Anderson,2024,34,LAA,AL,31,31,0,179.1,25,15,9,1,1,0.96,,,-1,-1.0,1.2,1.31,0.77,1.29
Brandon Crawford,2024,37,STL,NL,25,21,15,179.0,67,18,48,1,10,0.985,-2.0,-10.0,-1,-7.0,3.32,3.48,2.64,3.37
Tanner Houck,2024,28,BOS,AL,30,30,1,178.2,51,32,19,0,2,1.0,,,2,2.0,2.57,1.31,1.7,1.29
Bailey Ober,2024,28,MIN,AL,31,31,1,178.2,29,11,17,1,0,0.966,,,3,3.0,1.41,1.31,0.9,1.29
Mitch Keller,2024,28,PIT,NL,31,31,1,178.0,31,10,21,0,3,1.0,,,-1,-1.0,1.57,1.36,1.0,1.34
Braden Shewmake,2024,26,CHW,AL,25,21,15,178.0,64,13,48,3,7,0.953,-1.0,-4.0,-1,-7.0,3.08,3.37,2.44,3.33
Chris Sale,2024,35,ATL,NL,29,29,0,177.2,31,9,22,0,1,1.0,,,4,5.0,1.57,1.36,1.07,1.34
Erick Fedde,2024,31,2TM,2LG,31,31,0,177.1,23,13,9,1,1,0.957,,,-1,-1.0,1.12,1.32,0.71,1.31
Erick Fedde,2024,31,CHW,AL,21,21,0,121.2,16,10,5,1,1,0.938,,,-1,-2.0,1.11,1.31,0.71,1.29
Erick Fedde,2024,31,STL,NL,10,10,0,55.2,7,3,4,0,0,1.0,,,0,0.0,1.13,1.36,0.7,1.34
Ryan Bliss,2024,24,SEA,AL,25,20,14,177.0,79,36,42,1,14,0.987,-1.0,-4.0,2,14.0,3.97,3.97,3.12,3.91
Framber Valdez,2024,30,HOU,AL,28,28,1,176.1,19,2,16,1,3,0.947,,,-1,-1.0,0.92,1.31,0.64,1.29
Yusei Kikuchi,2024,33,2TM,AL,32,32,0,175.2,20,7,13,0,0,1.0,,,2,2.0,1.02,1.31,0.63,1.29
Yusei Kikuchi,2024,33,TOR,AL,22,22,0,115.2,16,5,11,0,0,1.0,,,3,5.0,1.24,1.31,0.73,1.29
Yusei Kikuchi,2024,33,HOU,AL,10,10,0,60.0,4,2,2,0,0,1.0,,,-1,-3.0,0.6,1.31,0.4,1.29
Luis Castillo,2024,31,SEA,AL,30,30,0,175.1,12,6,5,1,1,0.917,,,-2,-2.0,0.56,1.31,0.37,1.29
Carlos Rodón,2024,31,NYY,AL,32,32,0,175.0,14,4,10,0,0,1.0,,,-1,-1.0,0.72,1.31,0.44,1.29
Will Wagner,2024,25,TOR,AL,21,19,17,175.0,85,31,53,1,12,0.988,0.0,1.0,1,7.0,4.32,4.04,3.82,4.09
Patrick Corbin,2024,34,WSN,NL,32,32,0,174.2,25,3,22,0,1,1.0,,,1,1.0,1.29,1.36,0.78,1.34
Nestor Cortes,2024,29,NYY,AL,31,30,0,174.1,15,5,10,0,1,1.0,,,2,2.0,0.77,1.31,0.48,1.29
Max Fried,2024,30,ATL,NL,29,29,2,174.1,27,10,17,0,0,1.0,,,0,0.0,1.39,1.36,0.93,1.34
Tanner Bibee,2024,25,CLE,AL,31,31,0,173.2,35,12,21,2,1,0.943,,,6,7.0,1.71,1.31,1.06,1.29
Michael King,2024,29,SDP,NL,31,30,0,173.2,32,10,21,1,2,0.969,,,4,5.0,1.61,1.36,1.0,1.34
Freddy Peralta,2024,28,MIL,NL,32,32,0,173.2,32,16,15,1,3,0.969,,,1,1.0,1.61,1.36,0.97,1.34
Shota Imanaga,2024,30,CHC,NL,29,29,0,173.1,18,4,14,0,1,1.0,,,3,3.0,0.93,1.36,0.62,1.34
Nathan Lukes,2024,29,TOR,AL,21,19,17,173.0,55,50,4,1,0,0.982,5.0,36.0,5,35.0,2.81,2.27,2.57,2.24
Griffin Canning,2024,28,LAA,AL,32,31,0,171.2,32,12,20,0,0,1.0,,,5,6.0,1.68,1.31,1.0,1.29
Miles Mikolas,2024,35,STL,NL,32,32,0,171.2,26,13,11,2,1,0.923,,,-1,-1.0,1.26,1.36,0.75,1.34
Bligh Madris,2024,28,DET,AL,21,19,16,171.1,145,140,5,0,12,1.0,-1.0,-4.0,2,14.0,7.62,7.84,6.9,7.65
Chris Bassitt,2024,35,TOR,AL,31,31,0,171.0,29,12,16,1,3,0.966,,,-1,-1.0,1.47,1.31,0.9,1.29
Jack López,2024,31,LAA,AL,27,18,11,171.0,103,40,59,4,24,0.961,1.0,8.0,-1,-7.0,5.21,3.89,3.41,3.79
Nathan Eovaldi,2024,34,TEX,AL,29,29,0,170.2,38,29,8,1,0,0.974,,,-1,-1.0,1.95,1.31,1.28,1.29
Alan Trejo,2024,28,COL,NL,24,19,12,170.2,74,24,49,1,11,0.986,-2.0,-11.0,0,0.0,3.85,3.83,2.92,3.62
Jose Quintana,2024,35,NYM,NL,31,31,0,170.1,35,13,22,0,1,1.0,,,2,2.0,1.85,1.36,1.13,1.34
Hunter Brown,2024,25,HOU,AL,31,30,0,170.0,32,19,12,1,0,0.969,,,-4,-5.0,1.64,1.31,1.0,1.29
Kyle Gibson,2024,36,STL,NL,30,30,0,169.2,28,16,12,0,1,1.0,,,0,0.0,1.49,1.36,0.93,1.34
Kris Bryant,2024,32,COL,NL,22,21,14,169.0,105,101,3,1,10,0.99,-6.0,-45.0,-3,-21.0,5.54,5.05,4.73,4.91
Colin Rea,2024,33,MIL,NL,32,27,0,167.2,40,20,15,5,0,0.875,,,-2,-2.0,1.88,1.36,1.09,1.34
Ronel Blanco,2024,30,HOU,AL,30,29,1,167.1,32,19,10,3,1,0.906,,,1,1.0,1.56,1.31,0.97,1.29
Jon Berti,2024,34,NYY,AL,21,18,17,167.0,45,8,34,3,4,0.933,2.0,16.0,2,14.0,2.26,2.58,2.0,2.57
Bryan Ramos,2024,22,CHW,AL,21,19,17,167.0,55,16,38,1,4,0.982,-2.0,-14.0,-1,-7.0,2.91,2.47,2.57,2.44
Michael Wacha,2024,32,KCR,AL,29,29,0,166.2,29,9,20,0,3,1.0,,,5,6.0,1.57,1.31,1.0,1.29
MacKenzie Gore,2024,25,WSN,NL,32,32,0,166.1,18,2,13,3,1,0.833,,,-3,-4.0,0.81,1.36,0.47,1.34
Sonny Gray,2024,34,STL,NL,28,28,0,166.1,31,14,17,0,1,1.0,,,-2,-2.0,1.68,1.36,1.11,1.34
Charlie Morton,2024,40,ATL,NL,30,30,0,165.1,33,9,21,3,0,0.909,,,3,4.0,1.63,1.36,1.0,1.34
Jameson Taillon,2024,32,CHC,NL,28,28,0,165.1,26,14,11,1,0,0.962,,,-2,-2.0,1.36,1.36,0.89,1.34
Zach Eflin,2024,30,2TM,AL,28,28,0,165.1,27,7,20,0,0,1.0,,,4,5.0,1.47,1.31,0.96,1.29
Zach Eflin,2024,30,TBR,AL,19,19,0,110.0,16,5,11,0,0,1.0,,,2,4.0,1.31,1.31,0.84,1.29
Zach Eflin,2024,30,BAL,AL,9,9,0,55.1,11,2,9,0,0,1.0,,,2,7.0,1.79,1.3,1.22,1.29
Austin Gomber,2024,30,COL,NL,30,30,0,165.0,22,6,15,1,0,0.955,,,2,2.0,1.15,1.36,0.7,1.34
Joshua Palacios,2024,28,PIT,NL,20,19,14,163.0,28,27,1,0,0,1.0,0.0,-3.0,-2,-15.0,1.55,2.21,1.4,2.18
Brayan Bello,2024,25,BOS,AL,30,30,0,162.1,38,20,16,2,1,0.947,,,0,0.0,2.0,1.31,1.2,1.29
Ryan Feltner,2024,27,COL,NL,30,30,0,162.1,20,12,8,0,1,1.0,,,-3,-4.0,1.11,1.36,0.67,1.34
Jack Flaherty,2024,28,2TM,2LG,28,28,0,162.0,19,10,9,0,0,1.0,,,-1,-1.0,1.06,1.33,0.68,1.31
Jack Flaherty,2024,28,DET,AL,18,18,0,106.2,12,6,6,0,0,1.0,,,0,0.0,1.01,1.31,0.67,1.29
Jack Flaherty,2024,28,LAD,NL,10,10,0,55.1,7,4,3,0,0,1.0,,,-1,-4.0,1.14,1.37,0.7,1.34
Jonatan Clase,2024,22,2TM,AL,22,18,14,161.0,33,33,0,0,0,1.0,0.0,3.0,-2,-15.0,1.84,2.27,1.5,2.24
Jonatan Clase,2024,22,SEA,AL,16,12,8,109.0,21,21,0,0,0,1.0,1.0,7.0,0,0.0,1.73,2.27,1.31,2.24
Jonatan Clase,2024,22,TOR,AL,6,6,6,52.0,12,12,0,0,0,1.0,0.0,-5.0,-2,-46.0,2.08,2.27,2.0,2.23
Aaron Civale,2024,29,2TM,2LG,31,31,0,161.0,20,10,10,0,0,1.0,,,1,1.0,1.12,1.34,0.65,1.31
Aaron Civale,2024,29,TBR,AL,17,17,0,87.0,4,2,2,0,0,1.0,,,0,0.0,0.41,1.31,0.24,1.29
Aaron Civale,2024,29,MIL,NL,14,14,0,74.0,16,8,8,0,0,1.0,,,1,3.0,1.95,1.36,1.14,1.34
Chris Flexen,2024,29,CHW,AL,33,31,0,160.0,28,8,20,0,3,1.0,,,4,5.0,1.58,1.31,0.85,1.29
Andrew Heaney,2024,33,TEX,AL,32,31,0,160.0,12,4,8,0,0,1.0,,,-1,-1.0,0.68,1.31,0.38,1.29
Zack Littell,2024,28,TBR,AL,29,29,0,156.1,21,11,9,1,2,0.952,,,-2,-3.0,1.15,1.31,0.69,1.29
Oliver Dunn,2024,26,MIL,NL,28,18,9,156.0,48,11,37,0,4,1.0,4.0,34.0,3,23.0,2.77,2.61,1.66,2.76
Marcus Stroman,2024,33,NYY,AL,30,29,0,154.2,32,13,18,1,1,0.969,,,-2,-3.0,1.8,1.31,1.03,1.29
Eric Wagaman,2024,26,LAA,AL,18,17,17,153.1,54,11,39,4,4,0.926,1.0,6.0,3,23.0,2.93,2.47,2.78,2.43
Luis Gil,2024,26,NYY,AL,29,29,0,151.2,22,14,5,3,1,0.864,,,0,0.0,1.13,1.31,0.66,1.29
Eric Haase,2024,31,MIL,NL,23,16,14,151.1,149,144,3,2,0,0.987,-1.0,-8.0,-2,-16.0,8.74,9.06,6.39,8.94
Mitch Spence,2024,26,OAK,AL,35,24,0,151.1,24,11,12,1,1,0.958,,,0,0.0,1.37,1.31,0.66,1.29
Ben Lively,2024,32,CLE,AL,29,29,0,151.0,16,4,12,0,1,1.0,,,-1,-1.0,0.95,1.31,0.55,1.29
Mitchell Parker,2024,24,WSN,NL,29,29,0,151.0,13,2,6,5,0,0.615,,,-4,-5.0,0.48,1.36,0.28,1.34
Ryne Nelson,2024,26,ARI,NL,28,25,0,150.2,17,8,8,1,0,0.941,,,1,1.0,0.96,1.36,0.57,1.34
Ranger Suárez,2024,28,PHI,NL,27,27,1,150.2,34,7,27,0,1,1.0,,,5,7.0,2.03,1.36,1.26,1.34
