rank,player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
389,Tim Mayza*,,32,2TM,AL,-1.2,0,2,0,6.33,50,0,12,0,0,0,42.2,54,34,30,5,15,2,28,1,0,1,195,65,4.5,1.617,11.4,1.1,3.2,5.9,1.87
389,Tim Mayza*,,32,TOR,AL,-1.2,0,1,0,8.03,35,0,8,0,0,0,24.2,36,24,22,3,12,2,16,0,0,1,121,52,4.91,1.946,13.1,1.1,4.4,5.8,1.33
389,Tim Mayza*,,32,NYY,AL,0,0,1,0,4,15,0,4,0,0,0,18,18,10,8,2,3,0,12,1,0,0,74,103,3.94,1.167,9,1,1.5,6,4
390,Xzavion Curry,,25,2TM,2LG,0.2,2,2,0.5,4.64,16,5,3,0,0,0,42.2,38,23,22,8,7,1,28,0,0,1,172,91,4.78,1.055,8,1.7,1.5,5.9,4
390,Xzavion Curry,,25,CLE,AL,-0.3,0,2,0,5.84,7,4,3,0,0,0,24.2,29,17,16,5,5,1,15,0,0,1,108,70,5.19,1.378,10.6,1.8,1.8,5.5,3
390,Xzavion Curry,,25,MIA,NL,0.5,2,0,1,3,9,1,0,0,0,0,18,9,6,6,3,2,0,13,0,0,0,64,146,4.22,0.611,4.5,1.5,1,6.5,6.5
391,Adam Oller,,29,MIA,NL,0.4,2,4,0.333,5.31,8,8,0,0,0,0,42.1,43,25,25,7,22,0,36,2,0,1,189,82,5.32,1.535,9.1,1.5,4.7,7.7,1.64
392,Eli Morgan,,28,CLE,AL,1.1,3,0,1,1.93,32,0,9,0,0,0,42,30,11,9,4,11,1,34,1,0,0,167,210,3.64,0.976,6.4,0.9,2.4,7.3,3.09
393,Darren McCaughan,,28,2TM,2LG,-0.4,0,0,,6.21,12,5,5,0,0,2,42,53,32,29,9,15,0,28,6,0,2,195,70,6.12,1.619,11.4,1.9,3.2,6,1.87
393,Darren McCaughan,,28,MIA,NL,-0.2,0,0,,5.75,10,5,4,0,0,2,36,44,26,23,7,9,0,27,6,0,1,165,76,5.44,1.472,11,1.8,2.3,6.8,3
393,Darren McCaughan,,28,CLE,AL,-0.2,0,0,,9,2,0,1,0,0,0,6,9,6,6,2,6,0,1,0,0,1,30,48,10.17,2.5,13.5,3,9,1.5,0.17
394,Collin Snider,,28,SEA,AL,0.9,3,4,0.429,1.94,42,0,9,0,0,0,41.2,36,14,9,5,13,2,47,0,0,1,169,192,3.41,1.176,7.8,1.1,2.8,10.2,3.62
395,Edwin Uceta,,26,TBR,AL,1.9,2,0,1,1.51,30,0,10,0,0,5,41.2,26,8,7,2,8,0,57,1,0,0,159,266,1.7,0.816,5.6,0.4,1.7,12.3,7.13
396,Jordan Weems,,31,WSN,NL,-1,1,1,0.5,6.7,41,0,10,0,0,0,41.2,49,35,31,7,24,0,35,2,0,1,196,60,5.54,1.752,10.6,1.5,5.2,7.6,1.46
397,Austin Adams,,33,OAK,AL,0.5,1,2,0.333,3.92,56,0,6,0,0,0,41.1,38,20,18,4,23,2,53,13,0,6,191,101,4.47,1.476,8.3,0.9,5,11.5,2.3
398,Will Smith*,,34,KCR,AL,-0.9,0,4,0,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,63,5.27,1.452,9.8,1.5,3.3,6.3,1.93
399,Brad Keller,,28,2TM,AL,-0.2,0,4,0,5.44,16,2,8,0,0,1,41.1,48,28,25,9,15,0,32,2,0,3,192,78,5.68,1.524,10.5,2,3.3,7,2.13
399,Brad Keller,,28,CHW,AL,0.1,0,2,0,4.86,5,2,2,0,0,0,16.2,17,10,9,5,6,0,13,0,0,2,76,87,6.59,1.38,9.2,2.7,3.2,7,2.17
399,Brad Keller,,28,BOS,AL,-0.3,0,2,0,5.84,11,0,6,0,0,1,24.2,31,18,16,4,9,0,19,2,0,1,116,73,5.07,1.622,11.3,1.5,3.3,6.9,2.11
400,Jesús Tinoco,,29,3TM,2LG,1.1,1,0,1,3.32,32,0,10,0,0,3,40.2,27,15,15,3,12,1,42,3,0,1,162,129,3.17,0.959,6,0.7,2.7,9.3,3.5
400,Jesús Tinoco,,29,2TM,NL,1.4,1,0,1,1.76,23,0,9,0,0,3,30.2,16,6,6,1,5,1,33,1,0,0,112,248,2.02,0.685,4.7,0.3,1.5,9.7,6.6
400,Jesús Tinoco,,29,TEX,AL,-0.3,0,0,,8.1,9,0,1,0,0,0,10,11,9,9,2,7,0,9,2,0,1,50,50,6.67,1.8,9.9,1.8,6.3,8.1,1.29
400,Jesús Tinoco,,29,CHC,NL,0.2,0,0,,0,2,0,2,0,0,0,4,3,0,0,0,0,0,3,0,0,0,14,,1.67,0.75,6.8,0,0,6.8,
400,Jesús Tinoco,,29,MIA,NL,1.2,1,0,1,2.03,21,0,7,0,0,3,26.2,13,6,6,1,5,1,30,1,0,0,98,215,2.08,0.675,4.4,0.3,1.7,10.1,6
401,Jake Bird,,28,COL,NL,0.3,2,2,0.5,4.5,35,0,5,0,0,1,40,43,21,20,5,25,1,31,4,0,1,185,104,5.42,1.7,9.7,1.1,5.6,7,1.24
402,Luis Medina,,25,OAK,AL,0.3,2,4,0.333,5.18,8,8,0,0,0,0,40,43,24,23,4,20,1,32,1,0,5,180,77,4.44,1.575,9.7,0.9,4.5,7.2,1.6
403,Matthew Boyd*,,33,CLE,AL,0.7,2,2,0.5,2.72,8,8,0,0,0,0,39.2,32,16,12,4,13,0,46,2,1,0,166,149,3.29,1.134,7.3,0.9,2.9,10.4,3.54
404,Paul Sewald,,34,ARI,NL,0.2,1,2,0.333,4.31,42,0,34,0,0,16,39.2,35,19,19,6,10,1,43,3,0,0,165,98,3.95,1.134,7.9,1.4,2.3,9.8,4.3
405,Kyle Bradish,,27,BAL,AL,1,2,0,1,2.75,8,8,0,0,0,0,39.1,27,12,12,2,15,0,53,3,0,2,163,140,2.5,1.068,6.2,0.5,3.4,12.1,3.53
406,Erik Swanson,,30,TOR,AL,-0.3,2,2,0.5,5.03,45,0,15,0,0,0,39.1,36,22,22,11,14,0,37,1,1,0,168,82,6.06,1.271,8.2,2.5,3.2,8.5,2.64
407,Alex Wood*,,33,OAK,AL,-0.2,1,3,0.25,5.26,9,9,0,0,0,0,39.1,51,27,23,6,19,1,33,5,1,0,186,76,5.3,1.78,11.7,1.4,4.3,7.6,1.74
408,Yimi García,,33,2TM,AL,0.5,3,0,1,3.46,39,0,8,0,0,5,39,23,15,15,6,12,3,49,2,0,1,153,118,3.73,0.897,5.3,1.4,2.8,11.3,4.08
408,Yimi García,,33,TOR,AL,0.7,3,0,1,2.7,29,0,8,0,0,5,30,16,9,9,3,8,3,42,2,0,1,115,154,2.67,0.8,4.8,0.9,2.4,12.6,5.25
408,Yimi García,,33,SEA,AL,-0.2,0,0,,6,10,0,0,0,0,0,9,7,6,6,3,4,0,7,0,0,0,38,64,7.28,1.222,7,3,4,7,1.75
409,Scott Alexander*,,34,OAK,AL,1.2,1,3,0.25,2.56,45,0,9,0,0,0,38.2,31,14,11,3,15,7,31,2,0,2,160,155,3.89,1.19,7.2,0.7,3.5,7.2,2.07
410,Joey Cantillo*,,24,CLE,AL,-0.1,2,4,0.333,4.89,9,8,1,0,0,0,38.2,35,22,21,6,15,0,44,0,0,4,163,83,4.07,1.293,8.1,1.4,3.5,10.2,2.93
411,Tayler Saucedo*,,31,SEA,AL,0.4,2,0,1,3.49,53,0,11,0,0,3,38.2,35,15,15,3,18,3,38,2,0,1,166,107,3.76,1.371,8.1,0.7,4.2,8.8,2.11
412,Tommy Henry*,,26,ARI,NL,-0.8,2,3,0.4,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,60,6.37,1.748,11.5,2.1,4.2,7,1.67
413,Rafael Montero,,33,HOU,AL,-0.1,1,2,0.333,4.7,41,0,7,0,0,0,38.1,35,21,20,8,19,0,23,3,0,0,164,86,6.4,1.409,8.2,1.9,4.5,5.4,1.21
414,Wandy Peralta*,,32,SDP,NL,0.4,3,2,0.6,3.99,46,0,10,0,0,0,38.1,33,19,17,6,13,0,22,5,0,2,162,104,5.46,1.2,7.7,1.4,3.1,5.2,1.69
415,Jake Cousins,,29,NYY,AL,0.7,2,1,0.667,2.37,37,0,6,0,0,1,38,20,14,10,5,20,1,53,5,0,4,155,171,4.06,1.053,4.7,1.2,4.7,12.6,2.65
416,Emilio Pagán,,33,CIN,NL,0.3,4,5,0.444,4.5,38,1,5,0,0,1,38,40,20,19,6,11,0,44,0,1,0,158,99,3.77,1.342,9.5,1.4,2.6,10.4,4
417,Thyago Vieira,,31,3TM,2LG,0,0,1,0,5.21,28,0,13,0,0,1,38,37,23,22,8,26,1,39,2,1,3,177,81,5.74,1.658,8.8,1.9,6.2,9.2,1.5
417,Thyago Vieira,,31,2TM,NL,0,0,1,0,4.5,27,0,13,0,0,1,38,36,20,19,8,22,1,39,2,1,2,172,93,5.74,1.526,8.5,1.9,5.2,9.2,1.77
417,Thyago Vieira,,31,MIL,NL,-0.2,0,0,,5.64,16,0,9,0,0,1,22.1,25,14,14,6,13,1,25,2,0,0,106,73,6.43,1.701,10.1,2.4,5.2,10.1,1.92
417,Thyago Vieira,,31,BAL,AL,0,0,0,,,1,0,0,0,0,0,0,1,3,3,0,4,0,0,0,0,1,5,6,,,,,,,0
417,Thyago Vieira,,31,ARI,NL,0.2,0,1,0,2.87,11,0,4,0,0,0,15.2,11,6,5,2,9,0,14,0,1,2,66,149,4.76,1.277,6.3,1.1,5.2,8,1.56
