rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
315,Jake Lamb*,,29,2TM,2LG,-0.3,31,99,88,7,17,5,0,3,10,0,1,8,25,0.193,0.283,0.352,0.635,74,0.286,77,31,1,3,0,0,0
315,Jake Lamb*,,29,ARI,NL,-0.4,18,50,43,2,5,1,0,0,1,0,1,6,17,0.116,0.24,0.14,0.38,7,0.204,21,6,0,1,0,0,0
315,Jake Lamb*,,29,OAK,AL,0.1,13,49,45,5,12,4,0,3,9,0,0,2,8,0.267,0.327,0.556,0.882,141,0.37,136,25,1,2,0,0,0
316,Mike Brosseau,,26,TBR,AL,1.2,36,98,86,12,26,5,1,5,12,2,0,8,31,0.302,0.378,0.558,0.936,160,0.407,161,48,1,3,0,1,0
317,José Martínez,,31,2TM,2LG,-0.5,34,98,88,10,16,4,0,2,10,0,0,10,27,0.182,0.265,0.295,0.561,57,0.256,57,26,6,0,0,0,1
317,José Martínez,,31,TBR,AL,0.2,24,76,67,10,16,4,0,2,10,0,0,9,20,0.239,0.329,0.388,0.717,102,0.322,105,26,5,0,0,0,1
317,José Martínez,,31,CHC,NL,-0.6,10,22,21,0,0,0,0,0,0,0,0,1,7,0,0.045,0,0.045,-86,0.032,-107,0,1,0,0,0,0
318,Abraham Toro#,,23,HOU,AL,-0.7,33,97,87,13,13,2,0,3,9,1,1,3,23,0.149,0.237,0.276,0.513,40,0.249,47,24,1,7,0,0,0
319,Ke'Bryan Hayes,,23,PIT,NL,1.9,24,95,85,17,32,7,2,5,11,1,0,9,20,0.376,0.442,0.682,1.124,201,0.467,198,58,2,1,0,0,2
320,Jorge Bonifacio,,27,DET,AL,-0.3,30,94,86,8,19,3,0,2,17,0,0,5,26,0.221,0.277,0.326,0.602,65,0.266,59,28,1,2,0,1,0
321,Giancarlo Stanton,,30,NYY,AL,0.6,23,94,76,12,19,7,0,4,11,1,1,15,27,0.25,0.387,0.5,0.887,145,0.387,150,38,4,2,0,0,1
322,Pablo Sandoval#,,33,2TM,NL,-0.5,34,94,84,5,18,1,0,1,6,0,0,8,19,0.214,0.287,0.262,0.549,54,0.261,57,22,3,1,0,1,0
322,Pablo Sandoval#,,33,SFG,NL,-0.5,33,90,82,5,18,1,0,1,6,0,0,6,18,0.22,0.278,0.268,0.546,52,0.257,55,22,3,1,0,1,0
322,Pablo Sandoval#,,33,ATL,NL,0,1,4,2,0,0,0,0,0,0,0,0,2,1,0,0.5,0,0.5,50,0.352,110,0,0,0,0,0,0
323,Curt Casali,,31,CIN,NL,0.5,31,93,76,10,17,3,0,6,8,2,0,14,29,0.224,0.366,0.5,0.866,123,0.376,121,38,2,3,0,0,0
324,Adam Engel,,28,CHW,AL,0.7,36,93,88,11,26,5,1,3,12,1,0,3,19,0.295,0.333,0.477,0.811,120,0.366,128,42,1,2,0,0,0
325,Óscar Mercado,,25,CLE,AL,-0.5,36,93,86,6,11,1,0,1,6,3,0,5,27,0.128,0.174,0.174,0.348,-4,0.177,-10,15,0,0,1,1,0
326,Michael Pérez*,,27,TBR,AL,-0.2,38,93,84,7,14,3,0,1,13,0,0,7,27,0.167,0.237,0.238,0.475,35,0.218,32,20,3,1,0,1,0
327,Bobby Dalbec,,25,BOS,AL,0.6,23,92,80,13,21,3,0,8,16,0,0,10,39,0.263,0.359,0.6,0.959,149,0.4,146,48,0,2,0,0,0
328,Adam Haseley*,,24,PHI,NL,0,40,92,79,7,22,5,0,0,13,0,0,7,17,0.278,0.348,0.342,0.69,88,0.326,98,27,3,2,3,1,1
329,Jordan Luplow,,26,CLE,AL,-0.1,29,92,78,8,15,5,1,2,8,0,1,12,19,0.192,0.304,0.359,0.663,81,0.288,78,28,3,1,0,1,0
330,Jason Castro*,,33,2TM,2LG,-0.2,27,92,80,8,15,9,0,2,9,0,0,12,33,0.188,0.293,0.375,0.668,83,0.294,80,30,2,0,0,0,0
330,Jason Castro*,,33,LAA,AL,0,18,62,52,5,10,4,0,2,6,0,0,10,23,0.192,0.323,0.385,0.707,93,0.314,92,20,1,0,0,0,0
330,Jason Castro*,,33,SDP,NL,-0.2,9,30,28,3,5,5,0,0,3,0,0,2,10,0.179,0.233,0.357,0.59,61,0.253,54,10,1,0,0,0,0
