rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
1,Marcell Ozuna,,29,ATL,NL,2.8,60,267,228,38,77,14,0,18,56,0,0,38,60,0.338,0.431,0.636,1.067,177,0.444,175,145,3,0,0,1,3
2,Francisco Lindor#,,26,CLE,AL,1.3,60,266,236,30,61,13,0,8,27,6,2,24,41,0.258,0.335,0.415,0.75,104,0.329,101,98,8,4,0,2,2
3,Cavan Biggio*,,25,TOR,AL,2.2,59,265,220,41,55,16,0,8,28,6,0,41,61,0.25,0.375,0.432,0.807,122,0.37,128,95,2,3,0,0,0
4,Whit Merrifield,,31,KCR,AL,0.7,60,265,248,38,70,12,0,9,30,12,3,12,33,0.282,0.325,0.44,0.764,105,0.344,107,109,3,4,0,1,0
5,Dansby Swanson,,26,ATL,NL,2.8,60,264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111,0.364,115,110,0,4,0,1,0
6,José Abreu,,33,CHW,AL,2.7,60,262,240,43,76,15,0,19,60,0,0,18,59,0.317,0.37,0.617,0.987,165,0.421,168,148,10,3,0,1,1
7,Freddie Freeman*,,30,ATL,NL,3.3,60,262,214,51,73,23,1,13,53,2,0,45,37,0.341,0.462,0.64,1.102,187,0.466,190,137,6,3,0,0,7
8,César Hernández#,,30,CLE,AL,1.7,58,261,233,35,66,20,0,3,20,0,0,24,57,0.283,0.355,0.408,0.763,109,0.337,108,95,3,2,1,0,0
9,Trevor Story,,27,COL,NL,2.5,59,259,235,41,68,13,4,11,28,15,3,24,63,0.289,0.355,0.519,0.874,120,0.384,120,122,5,0,0,0,1
10,Trea Turner,,27,WSN,NL,2.8,59,259,233,46,78,15,4,12,41,12,4,22,36,0.335,0.394,0.588,0.982,162,0.421,162,137,5,2,0,2,0
11,Fernando Tatis Jr.,,21,SDP,NL,2.8,59,257,224,50,62,11,2,17,45,11,3,27,61,0.277,0.366,0.571,0.937,156,0.395,150,128,6,5,0,1,1
12,Carlos Santana#,,34,CLE,AL,1,60,255,206,34,41,7,0,8,30,0,0,47,43,0.199,0.349,0.35,0.699,93,0.32,96,72,5,1,0,1,1
13,Manny Machado,,27,SDP,NL,3,60,254,224,44,68,12,1,16,47,6,3,26,37,0.304,0.37,0.58,0.95,160,0.397,155,130,9,0,0,4,4
14,José Ramírez#,,27,CLE,AL,2.5,58,254,219,45,64,16,1,17,46,10,3,31,43,0.292,0.386,0.607,0.993,167,0.426,168,133,2,3,0,1,0
15,Trent Grisham*,,23,SDP,NL,2.5,59,252,215,42,54,8,3,10,26,10,1,31,64,0.251,0.352,0.456,0.808,123,0.359,123,98,1,3,1,1,0
16,Starling Marte,,31,2TM,NL,1.6,61,250,228,36,64,14,1,6,27,10,2,12,41,0.281,0.34,0.43,0.77,107,0.352,112,98,5,9,0,1,1
16,Starling Marte,,31,ARI,NL,1.1,33,138,122,23,38,8,1,2,14,5,2,10,19,0.311,0.384,0.443,0.827,124,0.365,125,54,3,5,0,1,1
16,Starling Marte,,31,MIA,NL,0.5,28,112,106,13,26,6,0,4,13,5,0,2,22,0.245,0.286,0.415,0.701,86,0.335,97,44,2,4,0,0,0
17,Rafael Devers*,,23,BOS,AL,0.8,57,248,232,32,61,16,1,11,43,0,0,13,67,0.263,0.31,0.483,0.793,107,0.34,104,112,8,3,0,0,0
18,Max Muncy*,,29,LAD,NL,0.5,58,248,203,36,39,4,0,12,27,1,0,39,60,0.192,0.331,0.389,0.72,95,0.316,91,79,3,4,0,2,2
19,Kyle Seager*,,32,SEA,AL,1.2,60,248,203,35,49,12,0,9,40,5,0,32,33,0.241,0.355,0.433,0.788,121,0.343,115,88,4,7,0,6,3
20,Charlie Blackmon*,,33,COL,NL,1,59,247,221,31,67,12,1,6,42,2,1,19,44,0.303,0.356,0.448,0.804,104,0.351,103,99,4,2,0,5,4
21,Christian Yelich*,,28,MIL,NL,0.5,58,247,200,39,41,7,1,12,22,4,2,46,76,0.205,0.356,0.43,0.786,110,0.35,113,86,4,1,0,0,2
22,Mookie Betts,,27,LAD,NL,3.7,55,246,219,47,64,9,1,16,39,10,2,24,38,0.292,0.366,0.562,0.927,147,0.417,158,123,2,2,0,1,1
23,Keston Hiura,,23,MIL,NL,-0.3,59,246,217,30,46,4,0,13,32,3,2,16,85,0.212,0.297,0.41,0.707,87,0.311,86,89,7,11,0,2,2
24,Matt Olson*,,26,OAK,AL,1.3,60,245,210,28,41,4,1,14,42,1,0,34,77,0.195,0.31,0.424,0.734,103,0.331,109,89,2,1,0,0,2
25,Bryce Harper*,,27,PHI,NL,1.9,58,244,190,41,51,9,2,13,33,8,2,49,43,0.268,0.42,0.542,0.962,158,0.408,154,103,5,2,1,2,8
26,Cody Bellinger*,,24,LAD,NL,1.5,56,243,213,33,51,10,0,12,30,6,1,30,42,0.239,0.333,0.455,0.789,112,0.34,106,97,4,0,0,0,2
27,Mark Canha,,31,OAK,AL,1.5,59,243,191,32,47,12,2,5,33,4,0,37,54,0.246,0.387,0.408,0.795,124,0.363,129,78,2,10,0,5,1
28,Maikel Franco,,27,KCR,AL,1.1,60,243,223,23,62,16,0,8,38,1,0,16,38,0.278,0.321,0.457,0.778,108,0.338,105,102,4,0,0,4,1
29,Vladimir Guerrero Jr.,,21,TOR,AL,0.7,60,243,221,34,58,13,2,9,33,1,0,20,38,0.262,0.329,0.462,0.791,115,0.351,118,102,6,2,0,0,1
30,Anthony Rizzo*,,30,CHC,NL,1,58,243,203,26,45,6,0,11,24,3,1,28,38,0.222,0.342,0.414,0.755,103,0.344,110,84,6,10,0,2,4
31,Christian Walker,,29,ARI,NL,0.9,57,243,218,35,59,18,1,7,34,1,1,19,50,0.271,0.333,0.459,0.792,112,0.344,112,100,6,3,0,3,0
32,Nick Castellanos,,28,CIN,NL,0,60,242,218,37,49,11,2,14,34,0,2,19,69,0.225,0.298,0.486,0.784,100,0.331,96,106,5,4,0,1,1
33,Kyle Lewis,,24,SEA,AL,1.6,58,242,206,37,54,3,0,11,28,5,1,34,71,0.262,0.364,0.437,0.801,124,0.355,125,90,5,0,0,2,0
34,Andrew McCutchen,,33,PHI,NL,-0.1,57,241,217,32,55,9,0,10,34,4,0,22,48,0.253,0.324,0.433,0.757,102,0.338,103,94,4,1,0,1,0
35,Franmil Reyes,,24,CLE,AL,0.4,59,241,211,27,58,10,0,9,34,0,0,24,69,0.275,0.344,0.45,0.795,116,0.344,113,95,6,1,0,5,0
36,Mike Trout,,28,LAA,AL,1.8,53,241,199,41,56,9,2,17,46,1,1,35,56,0.281,0.39,0.603,0.993,167,0.414,163,120,1,3,0,4,4
37,Pete Alonso,,25,NYM,NL,0.1,57,239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.49,0.817,122,0.342,114,102,4,6,0,1,4
38,Didi Gregorius*,,30,PHI,NL,1.1,60,237,215,34,61,10,2,10,40,3,2,15,28,0.284,0.339,0.488,0.827,120,0.345,112,105,4,4,1,2,3
39,J.D. Martinez,,32,BOS,AL,-0.7,54,237,211,22,45,16,0,7,27,1,0,22,59,0.213,0.291,0.389,0.68,79,0.299,74,82,6,2,0,2,3
40,Marcus Semien,,29,OAK,AL,0.4,53,236,211,28,47,9,1,7,23,4,0,25,50,0.223,0.305,0.374,0.679,89,0.309,91,79,3,0,0,0,0
41,Javier Báez,,27,CHC,NL,0.7,59,235,222,27,45,9,1,8,24,3,0,7,75,0.203,0.238,0.36,0.599,59,0.278,62,80,8,4,0,2,0
42,Luke Voit,,29,NYY,AL,1.7,56,234,213,41,59,5,0,22,52,0,0,17,54,0.277,0.338,0.61,0.948,157,0.405,160,130,4,3,0,1,0
43,Michael Conforto*,,27,NYM,NL,2.1,54,233,202,40,65,12,0,9,31,3,3,24,57,0.322,0.412,0.515,0.927,154,0.41,164,104,6,7,0,0,0
44,Adalberto Mondesí#,,24,KCR,AL,1.3,59,233,219,33,56,11,3,6,22,24,8,11,70,0.256,0.294,0.416,0.71,90,0.319,88,91,4,1,2,0,0
45,Nick Solak,,25,TEX,AL,-1.1,58,233,209,27,56,10,0,2,23,7,1,18,42,0.268,0.326,0.344,0.671,86,0.304,84,72,6,2,0,4,0
46,J.P. Crawford*,,25,SEA,AL,1.6,53,232,204,33,52,7,2,2,24,6,3,23,39,0.255,0.336,0.338,0.674,91,0.31,96,69,4,3,0,2,0
47,Anthony Rendon,,30,LAA,AL,2.2,52,232,189,29,54,11,1,9,31,0,0,38,31,0.286,0.418,0.497,0.915,150,0.399,152,94,10,5,0,0,2
48,Corey Seager*,,26,LAD,NL,2,52,232,212,38,65,12,1,15,41,1,0,17,37,0.307,0.358,0.585,0.943,150,0.402,150,124,8,1,0,2,0
49,Hanser Alberto,,27,BAL,AL,0.7,54,231,219,35,62,15,0,3,22,3,0,5,30,0.283,0.306,0.393,0.698,88,0.315,89,86,6,3,2,2,0
50,Miguel Cabrera,,37,DET,AL,0.1,57,231,204,28,51,4,0,10,35,1,0,24,51,0.25,0.329,0.417,0.746,104,0.325,100,85,3,1,0,2,1
51,Paul Goldschmidt,,32,STL,NL,2,58,231,191,31,58,13,0,6,21,1,0,37,43,0.304,0.417,0.466,0.883,145,0.387,146,89,4,1,0,1,0
52,Randal Grichuk,,28,TOR,AL,0.4,55,231,216,38,59,9,0,12,35,1,1,13,49,0.273,0.312,0.481,0.793,114,0.338,111,104,5,0,0,2,1
53,Ian Happ#,,25,CHC,NL,1.3,57,231,198,27,51,11,1,12,28,1,3,30,63,0.258,0.361,0.505,0.866,131,0.371,133,100,1,2,1,0,1
54,Yoán Moncada#,,25,CHW,AL,0.6,52,231,200,28,45,8,3,6,24,0,0,28,72,0.225,0.32,0.385,0.705,94,0.311,91,77,1,1,0,2,0
55,Eddie Rosario*,,28,MIN,AL,1.2,57,231,210,31,54,7,0,13,42,3,1,19,34,0.257,0.316,0.476,0.792,116,0.342,115,100,3,0,0,2,2
56,Eugenio Suárez,,28,CIN,NL,0.5,57,231,198,29,40,8,0,15,38,2,0,30,67,0.202,0.312,0.47,0.781,100,0.346,102,93,5,2,0,1,1
57,David Fletcher,,26,LAA,AL,1.9,49,230,207,31,66,13,0,3,18,2,1,20,25,0.319,0.376,0.425,0.801,120,0.352,119,88,4,0,1,2,0
58,Adam Frazier*,,28,PIT,NL,0.8,58,230,209,22,48,7,0,7,23,1,3,17,35,0.23,0.297,0.364,0.661,79,0.289,78,76,3,3,1,0,0
59,Yuli Gurriel,,36,HOU,AL,-0.1,57,230,211,27,49,12,1,6,22,0,1,12,27,0.232,0.274,0.384,0.658,77,0.287,74,81,6,2,0,5,0
60,Brian Anderson,,27,MIA,NL,1.8,59,229,200,27,51,7,1,11,38,0,0,22,66,0.255,0.345,0.465,0.81,116,0.357,119,93,2,6,0,1,1
61,J.D. Davis,,27,NYM,NL,0,56,229,190,26,47,9,0,6,19,0,0,31,56,0.247,0.371,0.389,0.761,111,0.342,114,74,8,7,0,1,1
62,Kole Calhoun*,,32,ARI,NL,1.4,54,228,190,35,43,9,0,16,40,1,1,28,50,0.226,0.338,0.526,0.864,130,0.369,130,100,6,6,0,4,0
63,Isiah Kiner-Falefa,,25,TEX,AL,2.1,58,228,211,28,59,4,3,3,10,8,5,14,32,0.28,0.329,0.37,0.699,93,0.319,99,78,6,2,0,1,0
64,Kyle Tucker*,,23,HOU,AL,1.9,58,228,209,33,56,12,6,9,42,8,1,18,46,0.268,0.325,0.512,0.837,124,0.367,124,107,2,0,0,1,2
65,Tommy La Stella*,,31,2TM,AL,0.9,55,228,196,31,55,14,2,5,25,1,0,27,12,0.281,0.37,0.449,0.819,126,0.361,127,88,6,2,1,2,0
65,Tommy La Stella*,,31,LAA,AL,0.4,28,117,99,15,27,8,0,4,14,1,0,15,7,0.273,0.371,0.475,0.845,130,0.375,133,47,3,1,1,1,0
65,Tommy La Stella*,,31,OAK,AL,0.6,27,111,97,16,28,6,2,1,11,0,0,12,5,0.289,0.369,0.423,0.792,122,0.347,120,41,3,1,0,1,0
66,Tommy Edman#,,25,STL,NL,1.1,55,227,204,29,51,7,1,5,26,2,4,16,48,0.25,0.317,0.368,0.685,90,0.302,92,75,5,5,0,2,0
67,Luis Robert Jr.,,22,CHW,AL,1.9,56,227,202,33,47,8,0,11,31,9,2,20,73,0.233,0.302,0.436,0.738,100,0.322,95,88,4,1,0,2,0
68,Joey Gallo*,,26,TEX,AL,1.6,57,226,193,23,35,8,0,10,26,2,0,29,79,0.181,0.301,0.378,0.679,87,0.302,84,73,0,4,0,0,2
69,Eloy Jiménez,,23,CHW,AL,1.4,55,226,213,26,63,14,0,14,41,0,0,12,56,0.296,0.332,0.559,0.891,139,0.383,141,119,4,0,0,1,0
70,Jorge Polanco#,,26,MIN,AL,0,55,226,209,22,54,8,0,4,19,4,2,13,35,0.258,0.304,0.354,0.658,82,0.292,80,74,7,1,2,1,0
71,Xander Bogaerts,,27,BOS,AL,1.2,56,225,203,36,61,8,0,11,28,8,0,21,41,0.3,0.364,0.502,0.867,128,0.374,122,102,3,0,0,1,2
72,Willson Contreras,,28,CHC,NL,1,57,225,189,37,46,10,0,7,26,1,2,20,57,0.243,0.356,0.407,0.763,106,0.337,108,77,6,14,0,2,1
73,Brandon Nimmo*,,27,NYM,NL,1.7,55,225,186,33,52,8,3,8,18,1,2,33,43,0.28,0.404,0.484,0.888,145,0.383,145,90,1,6,0,0,0
74,Mike Yastrzemski*,,29,SFG,NL,2.7,54,225,192,39,57,14,4,10,35,2,1,30,55,0.297,0.4,0.568,0.968,164,0.419,168,109,2,3,0,0,2
75,Lourdes Gurriel Jr.,,26,TOR,AL,1.1,57,224,208,28,64,14,0,11,33,3,1,14,48,0.308,0.348,0.534,0.882,138,0.389,145,111,7,0,0,2,0
76,Brandon Lowe*,,25,TBR,AL,2.4,56,224,193,36,52,9,2,14,37,3,0,25,58,0.269,0.362,0.554,0.916,154,0.387,148,107,2,4,0,2,0
77,Kyle Schwarber*,,27,CHC,NL,0.1,59,224,191,30,36,6,0,11,24,1,0,30,66,0.188,0.308,0.393,0.701,88,0.316,90,75,3,3,0,0,1
78,Josh Bell#,,27,PIT,NL,-0.5,57,223,195,22,44,3,0,8,22,0,0,22,59,0.226,0.305,0.364,0.669,82,0.29,74,71,3,2,0,4,4
79,Joey Votto*,,36,CIN,NL,0.1,54,223,186,32,42,8,0,11,22,0,0,37,43,0.226,0.354,0.446,0.8,107,0.352,107,83,5,0,0,0,1
80,Kevin Pillar,,31,2TM,2LG,0.9,54,223,208,34,60,12,3,6,26,5,2,13,41,0.288,0.336,0.462,0.798,106,0.35,106,96,4,2,0,0,1
80,Kevin Pillar,,31,BOS,AL,0.7,30,126,117,20,32,7,2,4,13,1,1,8,23,0.274,0.325,0.47,0.795,109,0.351,113,55,4,1,0,0,0
80,Kevin Pillar,,31,COL,NL,0.2,24,97,91,14,28,5,1,2,13,4,1,5,18,0.308,0.351,0.451,0.801,103,0.349,98,41,0,1,0,0,1
81,Eduardo Escobar#,,31,ARI,NL,-0.4,54,222,203,22,43,7,3,4,20,1,0,15,41,0.212,0.27,0.335,0.605,63,0.258,50,68,5,2,0,2,4
82,Ramón Laureano,,25,OAK,AL,1.4,54,222,183,27,39,8,1,6,25,2,1,24,58,0.213,0.338,0.366,0.704,98,0.316,99,67,7,12,0,3,0
83,George Springer,,30,HOU,AL,2.2,51,222,189,37,50,6,2,14,32,1,2,24,38,0.265,0.359,0.54,0.899,141,0.387,145,102,3,5,0,2,0
84,Tim Anderson,,27,CHW,AL,2.5,49,221,208,45,67,11,1,10,21,5,2,10,50,0.322,0.357,0.529,0.886,140,0.382,140,110,4,2,0,1,0
85,Carlos Correa,,25,HOU,AL,1.6,58,221,201,22,53,9,0,5,25,0,0,16,49,0.264,0.326,0.383,0.709,93,0.324,98,77,4,3,0,1,2
86,Alex Verdugo*,,24,BOS,AL,2.2,53,221,201,36,62,16,0,6,15,4,0,17,45,0.308,0.367,0.478,0.844,123,0.373,124,96,4,2,0,1,1
87,Wil Myers,,29,SDP,NL,1.9,55,218,198,34,57,14,2,15,40,2,1,18,56,0.288,0.353,0.606,0.959,160,0.402,158,120,0,2,0,0,0
88,David Peralta*,,32,ARI,NL,0.7,54,218,203,19,61,10,1,5,34,1,0,13,45,0.3,0.339,0.433,0.773,108,0.334,103,88,4,0,0,2,0
89,Nick Ahmed,,30,ARI,NL,1.6,57,217,199,29,53,10,1,5,29,4,0,18,46,0.266,0.327,0.402,0.729,97,0.329,98,80,3,0,0,0,0
90,Jackie Bradley Jr.*,,30,BOS,AL,2,55,217,191,32,54,11,0,7,22,5,2,23,48,0.283,0.364,0.45,0.814,116,0.363,120,86,2,2,0,1,1
91,Jean Segura,,30,PHI,NL,1.4,54,217,192,28,51,5,2,7,25,2,2,23,45,0.266,0.347,0.422,0.769,107,0.336,107,81,6,1,1,0,2
92,Jesús Aguilar,,30,MIA,NL,0.5,51,216,188,31,52,10,0,8,34,0,1,23,40,0.277,0.352,0.457,0.809,117,0.35,116,86,5,1,0,4,0
93,DJ LeMahieu,,31,NYY,AL,3,50,216,195,41,71,10,2,10,27,3,0,18,21,0.364,0.421,0.59,1.011,178,0.441,182,115,3,2,0,1,0
94,Renato Núñez,,26,BAL,AL,0.6,52,216,195,29,50,10,0,12,31,0,0,17,64,0.256,0.324,0.492,0.816,118,0.352,116,96,4,3,0,1,0
95,Nelson Cruz,,39,MIN,AL,1.8,53,214,185,33,56,6,0,16,33,0,0,25,58,0.303,0.397,0.595,0.992,171,0.416,168,110,8,4,0,0,5
96,Chris Taylor,,29,LAD,NL,1.8,56,214,185,30,50,10,2,8,32,3,2,26,55,0.27,0.366,0.476,0.842,127,0.374,133,88,3,2,1,0,0
97,Asdrúbal Cabrera#,,34,WSN,NL,0.1,52,213,190,23,46,9,3,8,31,0,0,19,40,0.242,0.305,0.447,0.753,101,0.32,95,85,6,0,0,4,0
98,Wilmer Flores,,28,SFG,NL,1.2,55,213,198,30,53,11,1,12,32,1,0,13,36,0.268,0.315,0.515,0.83,124,0.352,120,102,5,1,0,1,1
99,Víctor Reyes#,,25,DET,AL,0.8,57,213,202,30,56,7,2,4,14,8,2,9,45,0.277,0.315,0.391,0.706,93,0.324,97,79,4,2,0,0,0
100,Aaron Hicks#,,30,NYY,AL,0.7,54,211,169,28,38,10,2,6,21,4,1,41,38,0.225,0.379,0.414,0.793,122,0.356,124,70,4,1,0,0,1
101,Jose Altuve,,30,HOU,AL,-0.3,48,210,192,32,42,9,0,5,18,2,3,17,39,0.219,0.286,0.344,0.629,71,0.284,74,66,5,1,0,0,0
102,Corey Dickerson*,,31,MIA,NL,0.2,52,210,194,25,50,5,1,7,17,1,1,15,35,0.258,0.311,0.402,0.713,91,0.321,95,78,5,0,0,0,1
103,AJ Pollock,,32,LAD,NL,0.8,55,210,196,30,54,9,0,16,34,2,2,12,45,0.276,0.314,0.566,0.881,132,0.364,127,111,6,0,0,2,1
104,Josh Reddick*,,33,HOU,AL,-0.4,56,210,188,22,46,11,1,4,23,1,0,20,42,0.245,0.316,0.378,0.693,89,0.306,85,71,5,0,0,1,0
105,Adam Duvall,,31,ATL,NL,0.8,57,209,190,34,45,8,0,16,33,0,0,15,54,0.237,0.301,0.532,0.833,114,0.358,114,101,2,3,0,1,0
106,Evan Longoria,,34,SFG,NL,0.6,53,209,193,26,49,10,1,7,28,0,1,11,39,0.254,0.297,0.425,0.722,96,0.305,90,82,10,2,0,3,0
107,Jeff McNeil*,,28,NYM,NL,1.5,52,209,183,19,57,14,0,4,23,0,2,20,24,0.311,0.383,0.454,0.836,130,0.366,135,83,3,3,0,3,2
108,Bryan Reynolds#,,25,PIT,NL,0.5,55,208,185,24,35,6,2,7,19,1,1,21,57,0.189,0.275,0.357,0.632,71,0.279,68,66,2,1,0,0,0
109,Kolten Wong*,,29,STL,NL,1.3,53,208,181,26,48,4,2,1,16,5,2,20,30,0.265,0.35,0.326,0.675,90,0.305,89,59,1,4,2,1,1
110,Avisaíl García,,29,MIL,NL,-0.3,53,207,181,20,43,10,0,2,15,1,3,20,49,0.238,0.333,0.326,0.659,78,0.295,79,59,2,6,0,0,2
111,Teoscar Hernández,,27,TOR,AL,1.5,50,207,190,33,55,7,0,16,34,6,1,14,63,0.289,0.34,0.579,0.919,146,0.397,148,110,4,1,0,1,0
112,Jonathan Villar#,,29,2TM,2LG,-0.3,52,207,185,13,43,5,0,2,15,16,5,19,54,0.232,0.301,0.292,0.593,63,0.289,70,54,2,0,1,2,1
112,Jonathan Villar#,,29,MIA,NL,-0.1,30,128,116,10,30,4,0,2,9,9,5,10,32,0.259,0.315,0.345,0.66,79,0.306,86,40,2,0,1,1,1
112,Jonathan Villar#,,29,TOR,AL,-0.2,22,79,69,3,13,1,0,0,6,7,0,9,22,0.188,0.278,0.203,0.481,36,0.262,42,14,0,0,0,1,0
113,Jeimer Candelario#,,26,DET,AL,2.1,52,206,185,30,55,11,3,7,29,1,1,20,49,0.297,0.369,0.503,0.872,137,0.376,137,93,3,1,0,0,0
114,Austin Riley,,23,ATL,NL,-0.4,51,206,188,24,45,7,1,8,27,0,0,16,49,0.239,0.301,0.415,0.716,86,0.311,82,78,5,1,0,1,1
115,Raimel Tapia*,,26,COL,NL,0.8,51,206,184,26,59,8,2,1,17,8,2,14,38,0.321,0.369,0.402,0.772,98,0.35,99,74,3,2,1,3,0
116,Willy Adames,,24,TBR,AL,1.8,54,205,185,29,48,15,1,8,23,2,1,20,74,0.259,0.332,0.481,0.813,126,0.354,128,89,4,0,0,0,0
117,Miguel Sanó,,27,MIN,AL,0.1,53,205,186,31,38,12,0,13,25,0,0,18,90,0.204,0.278,0.478,0.757,105,0.317,97,89,3,1,0,0,1
118,Rio Ruiz*,,26,BAL,AL,0.6,54,204,185,25,41,11,0,9,32,1,2,17,46,0.222,0.286,0.427,0.713,90,0.308,88,79,4,0,1,1,1
119,Donovan Solano,,32,SFG,NL,1.5,54,203,190,22,62,15,1,3,29,0,0,10,39,0.326,0.365,0.463,0.828,127,0.371,134,88,2,2,0,1,0
120,Ronald Acuña Jr.,,22,ATL,NL,2.4,46,202,160,46,40,11,0,14,29,8,1,38,60,0.25,0.406,0.581,0.987,156,0.42,153,93,3,4,0,0,2
121,Jurickson Profar#,,27,SDP,NL,1.4,56,202,180,28,50,6,0,7,25,7,1,15,28,0.278,0.343,0.428,0.771,114,0.344,114,77,1,4,1,2,0
122,Evan White,,24,SEA,AL,-0.1,54,202,182,19,32,7,0,8,26,1,2,18,84,0.176,0.252,0.346,0.599,66,0.26,63,63,3,1,0,1,0
123,Nolan Arenado,,29,COL,NL,1.5,48,201,182,23,46,9,0,8,26,0,0,15,20,0.253,0.303,0.434,0.738,86,0.313,76,79,7,0,0,4,3
124,Colin Moran*,,27,PIT,NL,0.5,52,200,178,28,44,10,0,10,23,0,0,19,52,0.247,0.325,0.472,0.797,114,0.349,116,84,9,2,0,1,0
125,Marwin González#,,31,MIN,AL,0.2,53,199,175,15,37,4,0,5,22,0,0,17,41,0.211,0.286,0.32,0.606,69,0.274,67,56,1,3,0,4,0
126,Dominic Smith*,,25,NYM,NL,1.9,50,199,177,27,56,21,1,10,42,0,0,14,45,0.316,0.377,0.616,0.993,168,0.411,162,109,2,5,0,3,0
127,Max Kepler*,,27,MIN,AL,1.1,48,196,171,27,39,9,0,9,23,3,0,22,36,0.228,0.321,0.439,0.76,109,0.345,115,75,1,2,0,1,0
128,Juan Soto*,,21,WSN,NL,2.3,47,196,154,39,54,14,0,13,37,6,2,41,28,0.351,0.49,0.695,1.185,217,0.494,221,107,1,1,0,0,12
129,Ketel Marte#,,26,ARI,NL,1.6,45,195,181,19,52,14,1,2,17,1,0,7,21,0.287,0.323,0.409,0.732,97,0.344,110,74,2,4,0,3,0
130,J.T. Realmuto,,29,PHI,NL,1.4,47,195,173,33,46,6,0,11,32,4,1,16,48,0.266,0.349,0.491,0.84,124,0.364,123,85,3,6,0,0,0
131,Yasmani Grandal#,,31,CHW,AL,0.9,46,194,161,27,37,7,0,8,27,0,0,30,58,0.23,0.351,0.422,0.773,112,0.34,111,68,4,1,0,2,0
132,Brandon Crawford*,,33,SFG,NL,1.3,54,193,172,26,44,12,0,8,28,1,2,15,47,0.256,0.326,0.465,0.792,115,0.335,112,80,3,4,0,2,2
133,Erik González,,28,PIT,NL,0.3,50,193,181,14,41,13,1,3,20,2,3,8,51,0.227,0.255,0.359,0.614,65,0.259,57,65,5,0,1,3,0
134,Ryan McMahon*,,25,COL,NL,0.5,52,193,172,23,37,6,1,9,26,0,1,18,66,0.215,0.295,0.419,0.714,80,0.32,83,72,4,2,0,1,0
135,Jake Cronenworth*,,26,SDP,NL,1.6,54,192,172,26,49,15,3,4,20,3,1,18,30,0.285,0.354,0.477,0.831,129,0.367,133,82,4,1,0,1,0
136,Robbie Grossman#,,30,OAK,AL,1.2,51,192,166,23,40,12,2,8,23,8,1,21,38,0.241,0.344,0.482,0.826,128,0.368,130,80,1,5,0,0,2
137,Nicky Lopez*,,25,KCR,AL,0.2,56,192,169,15,34,8,0,1,13,0,5,18,41,0.201,0.286,0.266,0.552,51,0.246,50,45,1,2,3,0,0
138,Orlando Arcia,,25,MIL,NL,0.3,59,189,173,22,45,10,1,5,20,2,0,14,32,0.26,0.317,0.416,0.734,95,0.326,94,72,10,1,0,1,0
139,Víctor Robles,,23,WSN,NL,-0.2,52,189,168,20,37,5,1,3,15,4,1,9,53,0.22,0.293,0.315,0.608,66,0.278,64,53,0,9,1,2,0
140,Christian Vázquez,,29,BOS,AL,0.9,47,189,173,22,49,9,0,7,23,4,3,16,43,0.283,0.344,0.457,0.801,111,0.348,112,79,6,0,0,0,0
141,Michael Brantley*,,33,HOU,AL,1.6,46,187,170,24,51,15,0,5,22,2,0,17,28,0.3,0.364,0.476,0.84,127,0.373,131,81,3,0,0,0,0
142,Hunter Dozier,,28,KCR,AL,0.4,44,186,158,29,36,4,2,6,12,4,0,27,48,0.228,0.344,0.392,0.736,99,0.341,104,62,3,1,0,0,0
143,Rhys Hoskins,,27,PHI,NL,1,41,185,151,35,37,9,0,10,26,1,0,29,43,0.245,0.384,0.503,0.887,138,0.402,149,76,4,5,0,0,0
144,Yoshi Tsutsugo*,,28,TBR,AL,0.2,51,185,157,27,31,5,1,8,24,0,0,26,50,0.197,0.314,0.395,0.708,99,0.315,100,62,5,1,0,1,1
145,Travis d'Arnaud,,31,ATL,NL,0.8,44,184,165,19,53,8,0,9,34,1,0,16,50,0.321,0.386,0.533,0.919,139,0.394,138,88,8,2,0,1,0
146,Alex Gordon*,,36,KCR,AL,0.3,50,184,163,15,34,4,0,4,11,0,0,18,37,0.209,0.299,0.307,0.606,65,0.288,71,50,0,3,0,0,0
147,Garrett Hampson,,25,COL,NL,0,53,184,167,25,39,4,3,5,11,6,1,13,60,0.234,0.287,0.383,0.671,70,0.292,57,64,1,0,3,1,0
148,Joey Wendle*,,30,TBR,AL,1.4,50,184,168,24,48,9,2,4,17,8,2,10,35,0.286,0.342,0.435,0.777,118,0.338,113,73,1,5,0,1,1
149,Austin Nola,,30,2TM,2LG,1.2,48,184,161,24,44,9,1,7,28,0,0,18,34,0.273,0.353,0.472,0.825,129,0.363,132,76,3,3,0,2,1
149,Austin Nola,,30,SEA,AL,0.9,29,110,98,15,30,5,1,5,19,0,0,9,17,0.306,0.373,0.531,0.903,151,0.39,152,52,1,2,0,1,1
